L'anime,Note,"Avancement ",Genre
The Case Study of Vanitas,,A voir,"Drama, Fantasy"
ORESUKI Are you the only one who loves me ?,,A voir,Romance
To Your Eternity,,A voir,
Invincible,,A voir,
"Science Fell in Love, So I Tried to Prove It",,A voir,Romance
My Happy Marriage,,A voir,Romance
The Testament of Sister New Devil,,A voir,Ecchi
Monogatari Series,,A voir,Ecchi
Peter Grill and the Philosopher's Time,,A voir,Ecchi
The Demon Sword Master of Excalibur Academy,,A voir,Ecchi
Tenpuru,,A voir,Ecchi
Maburaho,,A voir,Ecchi
The Hidden Dungeon Only I Can Enter,,A voir,Ecchi
My Life as Inukai-san's Dog,,A voir,Ecchi
Beheneko,,A voir,Ecchi
Akame ga Kill!,,A voir,
Our dating story,,A voir,
"Hinamizawa, le village maudit ",,A voir,
Kubo Won't Let Me Be Invisible,,A voir,
Toradora,,A voir,
Yosuga no Sora,,A voir,+16
I Made Friends with the Second Prettiest Girl in My Class,8.5,Vu,Romance
The Dreaming Boy Is a Realist,7,Vu,"Romance, Slice of Life"
Re:Zero,8.5,Vu,"Fantasy, Isekai, Romance"
The Fragrant Flower Blooms with Dignity,7,Vu,Romance
Chivalry of a Failed Knight,7.5,Vu,Fantasy
Mobile Suit Gundam the Witch from Mercury,9.75,"A voir, Vu",
Trapped in a Dating Sim,6.5,Vu,Isekai
Solo Leveling,8,Vu,Fantasy
Moshoku Tensei,10,"Attente suite, Vu",
"You thought there is never a girl online ",7,Vu,
"Dandadan ",9,"Attente suite, Vu",
Engage Kiss,8.25,Vu,
Hajimete No Gal,8,Vu,
Failure Frame,7.25,"Attente suite, Vu",
Giji harem,8.75,Vu,
Chillin' in Another World with Level 2 Super Cheat Powers,7.25,"Suite ?, Vu",
Akashic Records of bastard magic instructor,7.75,"Suite ?, Vu",
Maoyuu maou yuusha,7,"Suite ?, Vu",
couple of cuckoos,7,"Attente suite, Vu",
Full Dive,4,Vu,
Cyberpunk : Edgerunners,10,"MasterClass, Vu",
86 EIGHTY SIX,10,"MasterClass, Vu",
Tonikaku kawaii,7.25,Vu,
My Dress-Up Darling,9.25,"Attente suite, Vu",
"Love, Chunibyo & Other Delusions",9,Vu,
My Stepmom's Daughter Is My Ex,8.5,Vu,
Mother of the Goddess' Dormitory,8.5,Vu,
Roshidere,7.25,"Suite ?, Vu",
The rising of the shield hero,7,Vu,
Arifureta,7.5,"Suite ?, Vu",
Harem in the labyrinth of another world,8,"Suite ?, Vu","+16, Ecchi"
how not to reincarnate a demon king from another world,6.5,Vu,
Nisekoi,8,"Scan, Suite ?, Vu",
THE ANGEL NEXT DOOR SPOILS ME ROTTEN,8.5,"Attente suite, Vu",
THE GIRL DOWNSTAIRS,8.75,Vu,
Hell's Paradise,9.75,"Attente suite, Vu",
The Dangers in My Heart,8.75,"A voir, Scan, Vu",
The high school of the dead,8,"Suite ?, Vu",
The eminence in shadow,7,"Scan, Suite ?, Vu",
Loving Yamada at LV999,6,"Attente suite, Vu",
DEMON SLAYER,8.5,"Attente suite, Vu",
TENGOW DAIMAKYOU,8,"Attente suite, Vu",
"THE IRREGULAR AT
MAGIC HIGH SCHOOL",7,"Suite ?, Vu",
