L'anime,"Avancement ",Genre,Note
DEMON SLAYER,"Attente suite, Vu",,8.5
TENGOW DAIMAKYOU,"Attente suite, Vu",,8
"THE IRREGULAR AT
MAGIC HIGH SCHOOL","Suite ?, Vu",,7
Loving Yamada at LV999,"Attente suite, Vu",,6
The eminence in shadow,"Scan, Suite ?, Vu",,7
The high school of the dead,"Suite ?, Vu",,8
The Dangers in My Heart,"A voir, Scan, Vu",,8.75
Hell's Paradise,"Attente suite, Vu",,9.75
THE GIRL DOWNSTAIRS,Vu,,8.75
Yosuga no Sora,A voir,+16,
Toradora,A voir,,
THE ANGEL NEXT DOOR SPOILS ME ROTTEN,"Attente suite, Vu",,8.5
Kubo Won't Let Me Be Invisible,A voir,,
Nisekoi,"Scan, Suite ?, Vu",,8
how not to reincarnate a demon king from another world,Vu,,6.5
"Hinamizawa, le village maudit ",A voir,,
Harem in the labyrinth of another world,"Suite ?, Vu","+16, Ecchi",8
Arifureta,"Suite ?, Vu",,7.5
The rising of the shield hero,Vu,,7
Roshidere,"Suite ?, Vu",,7.25
Mother of the Goddess' Dormitory,Vu,,8.5
My Stepmom's Daughter Is My Ex,Vu,,8.5
"Love, Chunibyo & Other Delusions",Vu,,9
My Dress-Up Darling,"Attente suite, Vu",,9.25
Tonikaku kawaii,Vu,,7.25
86 EIGHTY SIX,"MasterClass, Vu",,10
Cyberpunk : Edgerunners,"MasterClass, Vu",,10
Full Dive,Vu,,4
couple of cuckoos,"Attente suite, Vu",,7
Maoyuu maou yuusha,"Suite ?, Vu",,7
Akashic Records of bastard magic instructor,"Suite ?, Vu",,7.75
Chillin' in Another World with Level 2 Super Cheat Powers,"Suite ?, Vu",,7.25
Giji harem,Vu,,8.75
Failure Frame,"Attente suite, Vu",,7.25
Hajimete No Gal,Vu,,8
Engage Kiss,Vu,,8.25
"Dandadan ","Attente suite, Vu",,9
"You thought there is never a girl online ",Vu,,7
Moshoku Tensei,"Attente suite, Vu",,10
Our dating story,A voir,,
Akame ga Kill!,A voir,,
Beheneko,A voir,Ecchi,
My Life as Inukai-san's Dog,A voir,Ecchi,
The Hidden Dungeon Only I Can Enter,A voir,Ecchi,
Maburaho,A voir,Ecchi,
Tenpuru,A voir,Ecchi,
The Demon Sword Master of Excalibur Academy,A voir,Ecchi,
Peter Grill and the Philosopher's Time,A voir,Ecchi,
Solo Leveling,Vu,Fantasy,8
Monogatari Series,A voir,Ecchi,
The Testament of Sister New Devil,A voir,Ecchi,
My Happy Marriage,A voir,Romance,
"Science Fell in Love, So I Tried to Prove It",A voir,Romance,
Invincible,A voir,,
To Your Eternity,A voir,,
ORESUKI Are you the only one who loves me ?,A voir,Romance,
The Case Study of Vanitas,A voir,"Drama, Fantasy",
Trapped in a Dating Sim,Vu,Isekai,6.5
Mobile Suit Gundam the Witch from Mercury,"A voir, Vu",,9.75
Chivalry of a Failed Knight,Vu,Fantasy,7.5
The Fragrant Flower Blooms with Dignity,Vu,Romance,7
Re:Zero,Vu,"Fantasy, Isekai, Romance",8.5
The Dreaming Boy Is a Realist,Vu,"Romance, Slice of Life",7
I Made Friends with the Second Prettiest Girl in My Class,Vu,Romance,8.5
